model,dataset,condition,n_entities,n_hits,entity_recall
gpt-4o-transcribe,meddialog-audio,background_noise_20,1472,1414,0.9606
gpt-4o-transcribe,meddialog-audio,background_noise_40,1589,1498,0.9427
gpt-4o-transcribe,meddialog-audio,background_noise_60,1488,1313,0.8824
gpt-4o-transcribe,meddialog-audio,clean,1509,1456,0.9649
gpt-4o-transcribe,meddialog-audio,white_noise_10,1549,2,0.0013
gpt-4o-transcribe,meddialog-audio,white_noise_2,1545,853,0.5521
gpt-4o-transcribe,meddialog-audio,white_noise_6,1537,2,0.0013
gpt-4o-transcribe,primock57,,2411,2111,0.8756
gpt-4o-transcribe-openrouter,fareez-interviews,,15826,14595,0.9222
gpt-4o-transcribe-openrouter,primock57,,53,48,0.9057
qwen3-asr-0.6b,fareez-interviews,,15826,14867,0.9394
qwen3-asr-0.6b,meddialog-audio,background_noise_20,1472,1356,0.9212
qwen3-asr-0.6b,meddialog-audio,background_noise_40,1589,1417,0.8918
qwen3-asr-0.6b,meddialog-audio,background_noise_60,1488,1243,0.8353
qwen3-asr-0.6b,meddialog-audio,clean,1509,1396,0.9251
qwen3-asr-0.6b,meddialog-audio,white_noise_10,1549,1014,0.6546
qwen3-asr-0.6b,meddialog-audio,white_noise_2,1545,1406,0.91
qwen3-asr-0.6b,meddialog-audio,white_noise_6,1537,1230,0.8003
qwen3-asr-0.6b,primock57,,2411,2202,0.9133
qwen3-asr-1.7b,fareez-interviews,,15826,15138,0.9565
qwen3-asr-1.7b,meddialog-audio,background_noise_20,1472,1398,0.9497
qwen3-asr-1.7b,meddialog-audio,background_noise_40,1589,1469,0.9245
qwen3-asr-1.7b,meddialog-audio,background_noise_60,1488,1303,0.8757
qwen3-asr-1.7b,meddialog-audio,clean,1509,1443,0.9563
qwen3-asr-1.7b,meddialog-audio,white_noise_10,1549,1150,0.7424
qwen3-asr-1.7b,meddialog-audio,white_noise_2,1545,1456,0.9424
qwen3-asr-1.7b,meddialog-audio,white_noise_6,1537,1320,0.8588
qwen3-asr-1.7b,primock57,,2411,2234,0.9266
soniox-stt-async-v5,fareez-interviews,,15826,15246,0.9634
soniox-stt-async-v5,meddialog-audio,background_noise_20,1472,1385,0.9409
soniox-stt-async-v5,meddialog-audio,background_noise_40,1589,1465,0.922
soniox-stt-async-v5,meddialog-audio,background_noise_60,1488,1323,0.8891
soniox-stt-async-v5,meddialog-audio,clean,1509,1427,0.9457
soniox-stt-async-v5,meddialog-audio,white_noise_10,1549,1270,0.8199
soniox-stt-async-v5,meddialog-audio,white_noise_2,1545,1447,0.9366
soniox-stt-async-v5,meddialog-audio,white_noise_6,1537,1379,0.8972
soniox-stt-async-v5,primock57,,2411,2267,0.9403
whisper-large-v3,fareez-interviews,,15826,14989,0.9471
whisper-large-v3,meddialog-audio,background_noise_20,1472,1376,0.9348
whisper-large-v3,meddialog-audio,background_noise_40,1589,1445,0.9094
whisper-large-v3,meddialog-audio,background_noise_60,1488,1294,0.8696
whisper-large-v3,meddialog-audio,clean,1509,1426,0.945
whisper-large-v3,meddialog-audio,white_noise_10,1549,1160,0.7489
whisper-large-v3,meddialog-audio,white_noise_2,1545,1446,0.9359
whisper-large-v3,meddialog-audio,white_noise_6,1537,1300,0.8458
whisper-large-v3,primock57,,2411,2212,0.9175
whisper-large-v3-turbo,fareez-interviews,,15826,15040,0.9503
whisper-large-v3-turbo,meddialog-audio,background_noise_20,1472,1352,0.9185
whisper-large-v3-turbo,meddialog-audio,background_noise_40,1589,1415,0.8905
whisper-large-v3-turbo,meddialog-audio,background_noise_60,1488,1238,0.832
whisper-large-v3-turbo,meddialog-audio,clean,1509,1416,0.9384
whisper-large-v3-turbo,meddialog-audio,white_noise_10,1549,1046,0.6753
whisper-large-v3-turbo,meddialog-audio,white_noise_2,1545,1421,0.9197
whisper-large-v3-turbo,meddialog-audio,white_noise_6,1537,1260,0.8198
whisper-large-v3-turbo,primock57,,2411,2198,0.9117
